"city","distance_mi","duration_min"
"Abington",34.4,48
"Acton",22.2,29
"Acushnet",67.7,75
"Adams",138.0,156
"Agawam",98.7,99
"Alford",148.0,143
"Amesbury",33.7,36
"Amherst",94.5,102
"Andover",12.5,17
"Aquinnah",111.0,178
"Arlington",11.0,22
"Ashburnham",57.9,63
"Ashby",49.7,64
"Ashfield",115.0,125
"Ashland",34.4,41
"Athol",70.9,73
"Attleboro",52.6,57
"Auburn",53.6,55
"Avon",34.0,41
"Ayer",35.2,40
"Barnstable",82.6,88
"Barre",72.0,77
"Becket",131.0,141
"Bedford",10.9,16
"Belchertown",90.0,94
"Bellingham",50.3,53
"Belmont",18.7,24
"Berkley",53.5,58
"Berlin",43.3,43
"Bernardston",93.4,98
"Beverly",19.0,23
"Billerica",14.5,19
"Blackstone",55.5,63
"Blandford",114.0,116
"Bolton",39.6,39
"Boston",13.7,20
"Bourne",70.1,74
"Boxborough",26.1,37
"Boxford",22.0,25
"Boylston",52.6,52
"Braintree",25.6,33
"Brewster",95.8,102
"Bridgewater",45.0,55
"Brimfield",71.7,74
"Brockton",37.6,48
"Brookfield",73.1,78
"Brookline",17.0,32
"Buckland",110.0,118
"Burlington",6.7,11
"Cambridge",15.7,28
"Canton",33.1,43
"Carlisle",15.7,26
"Carver",60.4,66
"Charlemont",113.0,121
"Charlton",59.7,65
"Chatham",100.0,108
"Chelmsford",21.5,24
"Chelsea",14.6,23
"Cheshire",139.0,158
"Chester",121.0,126
"Chesterfield",124.0,127
"Chicopee",95.4,95
"Chilmark",107.0,170
"Clarksburg",133.0,152
"Clinton",44.0,48
"Cohasset",40.2,56
"Colrain",105.0,112
"Concord",17.0,22
"Conway",109.0,115
"Cummington",130.0,135
"Dalton",148.0,152
"Danvers",16.5,22
"Dartmouth",70.6,75
"Dedham",30.3,35
"Deerfield",95.5,104
"Dennis",90.7,95
"Dighton",58.0,66
"Douglas",62.3,66
"Dover",27.3,37
"Dracut",20.6,27
"Dudley",64.3,70
"Dunstable",29.4,33
"Duxbury",47.5,54
"East Bridgewater",45.4,55
"East Brookfield",67.5,77
"East Longmeadow",95.0,103
"Eastham",107.0,111
"Easthampton",105.0,104
"Easton",41.4,51
"Edgartown",102.0,160
"Egremont",149.0,152
"Erving",80.6,80
"Essex",25.9,35
"Everett",11.9,22
"Fairhaven",74.6,80
"Fall River",64.7,70
"Falmouth",84.7,92
"Fitchburg",48.9,54
"Florida",123.0,135
"Foxborough",43.1,47
"Framingham",28.2,36
"Franklin",52.3,56
