"city","gpx_path","completed"
"Boston","gpx/Charles_River.gpx",1
"Woburn","gpx/WinchesterMain.gpx",1
"Reading","gpx/Reading_Stoneham_Mains.gpx",1
"Stoneham","gpx/Reading_Stoneham_Mains.gpx",1
"Wilmington","gpx/Wilmington_Burlington_Mains.gpx",1
"Burlington","gpx/Wilmington_Burlington_Mains.gpx",1
"Winchester","gpx/WinchesterMain.gpx",1
"Medford","gpx/Medford_Somerville_Cambridge_Mains.gpx",1
"Somerville","gpx/Medford_Somerville_Cambridge_Mains.gpx",1
"Cambridge","gpx/Medford_Somerville_Cambridge_Mains.gpx",1
"Malden","gpx/Malden_Melrose_Saugus_Mains.gpx",1
"Melrose","gpx/Malden_Melrose_Saugus_Mains.gpx",1
"Saugus","gpx/Malden_Melrose_Saugus_Mains.gpx",1
"Peabody","gpx/Peabody_Salem_Beverly_Danvers_Mains.gpx",1
"Salem","gpx/Peabody_Salem_Beverly_Danvers_Mains.gpx",1
"Beverly","gpx/Peabody_Salem_Beverly_Danvers_Mains.gpx",1
"Danvers","gpx/Peabody_Salem_Beverly_Danvers_Mains.gpx",1
"Lexington","gpx/Lexington_Lincoln_Concord_Bedford_Mains.gpx",1
"Lincoln","gpx/Lexington_Lincoln_Concord_Bedford_Mains.gpx",1
"Concord","gpx/Lexington_Lincoln_Concord_Bedford_Mains.gpx",1
"Bedford","gpx/Lexington_Lincoln_Concord_Bedford_Mains.gpx",1
"North Reading","gpx/North_Reading_Middleton_Lynnfield_Wakefield_Mains.gpx",1
"Middleton","gpx/North_Reading_Middleton_Lynnfield_Wakefield_Mains.gpx",1
"Lynnfield","gpx/North_Reading_Middleton_Lynnfield_Wakefield_Mains.gpx",1
"Wakefield","gpx/North_Reading_Middleton_Lynnfield_Wakefield_Mains.gpx",1
"Swampscott","gpx/Marblehead_Swampscott_Lynn_Nahant.gpx",1
"Marblehead","gpx/Marblehead_Swampscott_Lynn_Nahant.gpx",1
"Lynn","gpx/Marblehead_Swampscott_Lynn_Nahant.gpx",1
"Nahant","gpx/Marblehead_Swampscott_Lynn_Nahant.gpx",1
"Everett","gpx/Everett_Chelsea_Winthrop_Revere_mains.gpx",1
"Chelsea","gpx/Everett_Chelsea_Winthrop_Revere_mains.gpx",1
"Winthrop","gpx/Everett_Chelsea_Winthrop_Revere_mains.gpx",1
"Revere","gpx/Everett_Chelsea_Winthrop_Revere_mains.gpx",1
"Waltham","gpx/Waltham_Newton_Brookline_Watertown_Arlington_Belmont_Mains.gpx",1
"Newton","gpx/Waltham_Newton_Brookline_Watertown_Arlington_Belmont_Mains.gpx",1
"Brookline","gpx/Waltham_Newton_Brookline_Watertown_Arlington_Belmont_Mains.gpx",1
"Watertown","gpx/Waltham_Newton_Brookline_Watertown_Arlington_Belmont_Mains.gpx",1
"Arlington","gpx/Waltham_Newton_Brookline_Watertown_Arlington_Belmont_Mains.gpx",1
"Belmont","gpx/Waltham_Newton_Brookline_Watertown_Arlington_Belmont_Mains.gpx",1
"Gloucester","gpx/Gloucester_Rockport_mains.gpx",1
"Rockport","gpx/Gloucester_Rockport_mains.gpx",1
"Andover","gpx/Andover_Lawrence_Methuen_North_Andover_mains.gpx",1
"Lawrence","gpx/Andover_Lawrence_Methuen_North_Andover_mains.gpx",1
"Methuen","gpx/Andover_Lawrence_Methuen_North_Andover_mains.gpx",1
"North Andover","gpx/Andover_Lawrence_Methuen_North_Andover_mains.gpx",1
"Oakham","gpx/Oakham_NewBraintree_Barre_Mains.gpx",1
"New Braintree","gpx/Oakham_NewBraintree_Barre_Mains.gpx",1
"Barre","gpx/Oakham_NewBraintree_Barre_Mains.gpx",1
"Quincy","gpx/Quincy_Milton_Braintree_Mains.gpx",1
"Milton","gpx/Quincy_Milton_Braintree_Mains.gpx",1
"Braintree","gpx/Quincy_Milton_Braintree_Mains.gpx",1
"Wenham","gpx/Wenham_ManchesterbytheSea_Essex_Hamilton_Mains.gpx",0
"Manchester-by-the-Sea","gpx/Wenham_ManchesterbytheSea_Essex_Hamilton_Mains.gpx",0
"Essex","gpx/Wenham_ManchesterbytheSea_Essex_Hamilton_Mains.gpx",0
"Hamilton","gpx/Wenham_ManchesterbytheSea_Essex_Hamilton_Mains.gpx",0
"Tewksbury","gpx/Tewksbury_Billerica_Chelmsford_Lowell_mains.gpx",0
"Billerica","gpx/Tewksbury_Billerica_Chelmsford_Lowell_mains.gpx",0
"Chelmsford","gpx/Tewksbury_Billerica_Chelmsford_Lowell_mains.gpx",0
"Lowell","gpx/Tewksbury_Billerica_Chelmsford_Lowell_mains.gpx",0
"Canton","gpx/Canton_Holbrook_Stoughton_Avon_Randolph_Mains.gpx",0
"Holbrook","gpx/Canton_Holbrook_Stoughton_Avon_Randolph_Mains.gpx",0
"Stoughton","gpx/Canton_Holbrook_Stoughton_Avon_Randolph_Mains.gpx",0
"Avon","gpx/Canton_Holbrook_Stoughton_Avon_Randolph_Mains.gpx",0
"Randolph","gpx/Canton_Holbrook_Stoughton_Avon_Randolph_Mains.gpx",0
